area;ciudad;conglomerado;panelm;vivienda;hogar;vi01;vi02;vi03a;vi03b;vi04a;vi04b;vi05a;vi05b;vi06;vi07;vi07a;vi07b;vi08;vi09;vi10;vi101;vi102;vi10a;vi11;vi12;vi13;vi14;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;10150;8702;12;1;1;1;1;4;1;1;1;1;1;5;4;0;1;1;1;1;;;1;1;1;2;5;2711;73;10150008702;1,015E+15;1,015E+16;201912
1;10150;8702;12;2;1;1;1;4;1;1;1;1;1;5;4;0;1;1;1;1;;;1;1;1;2;4;2711;73;10150008702;1,015E+15;1,015E+16;201912
1;10150;8702;12;3;1;1;1;4;1;1;1;1;1;5;4;0;1;1;1;1;;;1;1;1;2;5;2711;73;10150008702;1,015E+15;1,015E+16;201912
1;10150;8702;12;5;1;1;1;4;1;1;1;1;1;5;4;0;1;1;1;1;;;1;1;1;2;4;2711;73;10150008702;1,015E+15;1,015E+16;201912
1;10150;8702;12;6;1;1;2;1;1;1;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;4;2711;73;10150008702;1,015E+15;1,015E+16;201912
1;10150;8702;12;7;1;1;1;4;1;1;1;1;1;6;5;0;1;1;1;1;;;1;1;1;2;1;2711;73;10150008702;1,015E+15;1,015E+16;201912
1;10150;8702;12;8;1;1;1;2;1;1;1;1;1;5;4;0;1;1;1;1;;;1;1;1;2;4;2711;73;10150008702;1,015E+15;1,015E+16;201912
1;10150;9203;12;2;1;1;2;1;1;1;1;1;1;9;4;0;1;1;1;1;;;1;1;1;2;4;2711;117;10150009203;1,015E+15;1,015E+16;201912
1;10150;9203;12;3;1;1;1;2;1;1;1;1;1;3;2;0;1;1;1;1;;;1;1;1;2;4;2711;117;10150009203;1,015E+15;1,015E+16;201912
1;10150;9203;12;4;1;1;2;1;1;1;1;1;1;3;2;1;1;1;1;1;;;1;1;1;2;4;2711;117;10150009203;1,015E+15;1,015E+16;201912
1;10150;9203;12;5;1;1;2;1;1;3;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;1;2711;117;10150009203;1,015E+15;1,015E+16;201912
1;10150;9203;12;6;1;1;1;2;1;1;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;4;2711;117;10150009203;1,015E+15;1,015E+16;201912
1;10150;9203;12;7;1;1;2;1;1;1;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;4;2711;117;10150009203;1,015E+15;1,015E+16;201912
1;10150;9203;12;9;1;1;2;1;1;1;1;1;1;2;1;0;1;1;1;1;;;1;1;1;2;4;2711;117;10150009203;1,015E+15;1,015E+16;201912
1;10150;9503;6;1;1;1;2;1;1;1;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;1;2713;203;10150009503;1,015E+15;1,015E+16;201912
1;10150;9503;6;2;1;1;2;4;1;2;1;1;1;2;1;0;1;1;1;1;;;1;1;1;2;1;2713;203;10150009503;1,015E+15;1,015E+16;201912
1;10150;9503;6;3;1;1;2;1;1;1;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;1;2713;203;10150009503;1,015E+15;1,015E+16;201912
1;10150;9503;6;4;1;2;2;3;1;2;1;1;1;3;2;0;1;1;1;1;;;1;1;1;2;5;2713;203;10150009503;1,015E+15;1,015E+16;201912
1;10150;9503;6;5;1;1;2;4;1;1;1;3;1;5;3;0;1;1;1;1;;;1;1;1;2;5;2713;203;10150009503;1,015E+15;1,015E+16;201912
1;10150;9503;6;6;1;1;2;6;2;4;1;1;1;3;2;0;1;1;1;1;;;1;1;1;2;1;2713;203;10150009503;1,015E+15;1,015E+16;201912
1;10150;9503;6;7;1;2;2;4;2;1;2;1;2;4;3;0;1;1;1;1;;;1;1;1;2;1;2713;203;10150009503;1,015E+15;1,015E+16;201912
1;10150;10703;6;1;1;1;1;4;3;4;3;3;3;3;2;0;1;1;1;1;;;1;1;1;2;5;2713;140;10150010703;1,015E+15;1,015E+16;201912
1;10150;10703;6;2;1;1;1;2;3;5;3;1;1;2;1;0;1;1;1;1;;;1;1;1;2;4;2713;140;10150010703;1,015E+15;1,015E+16;201912
1;10150;10703;6;3;1;1;2;4;1;1;1;1;2;4;3;0;1;1;1;1;;;1;1;1;2;4;2713;140;10150010703;1,015E+15;1,015E+16;201912
1;10150;10703;6;4;1;1;2;2;2;4;2;1;1;4;3;0;1;1;1;1;;;1;1;1;2;4;2713;140;10150010703;1,015E+15;1,015E+16;201912
